캠핑(야영)장명,캠핑(야영)장구분,위도,경도,주소,일반야영장수,자동차야영장,글램핑,카라반,화장실,샤워실,개수대,소화기,방화수,방화사,화재감지기,기타부대시설 1,기타부대시설 2,데이터기준일자,인허가일자
청석들오토캠핑 ,일반야영장,35.7179541,129.0703874,경상북도 경주시 산내면 대현길 176-9 ,27,0,0,0,2,2,2,15,0,0,0,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,운동시설",,2019-07-12,2017-08-17
청송자연휴양림야영장,일반야영장,36.3178996,129.0538752,경상북도 청송군 부남면 청송로 3478-96 ,0,0,0,0,0,0,0,0,0,0,0,전기,,2019-07-12,2016-06-22
청송주왕산 느티나무캠핑장 ,일반야영장,36.3895157,129.1348799,경상북도 청송군 부동면 상의리 ,0,0,0,0,0,0,0,0,0,0,0,"물놀이장,운동시설",,2019-07-12,2016-06-03
청송캠핑장 ,자동차야영장,37.3683199,128.2674725,강원 영월군 무릉도원면 무릉법흥로 1278-8,50,0,0,0,2,2,2,25,0,0,0,"전기,무선인터넷,온수,운동시설",,2019-07-12,2015-07-30
청암관광농원 ,자동차야영장,37.2676913,127.515463,경기도 이천시 부발읍 아미리 ,0,0,0,0,0,0,0,0,0,0,0,"물놀이장,놀이터,운동시설",,2019-07-12,2015-06-22
청양 동강리 오토캠핑장 ,일반야영장,36.3394,126.979775,충청남도 청양군 청남면 천내리 ,0,42,0,0,2,2,4,88,0,0,0,"전기,무선인터넷,온수,산책로",,2019-07-12,2016-06-09
청옥산깨비마을야영장 ,"일반야영장,카라반",37.3674464,128.4852031,강원도 평창군 미탄면 회동리 ,0,5,0,3,1,1,1,6,0,0,3,"전기,놀이터,운동장",족구장,2019-07-12,2015-07-09
청옥야영장,일반야영장,36.947636,128.997699,경상북도 봉화군 소천면 현동리 744-6,15,0,0,0,2,1,1,5,0,0,0,전기,,2019-07-12,2017-07-24
청운오토캠핑장,자동차야영장,37.5429069,127.702976,경기도 양평군 청운면 가현리 ,33,0,0,0,2,1,1,30,0,0,0,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,운동장,운동시설","탁구장,족욕장",2019-07-12,2015-05-28
청일관광농원,자동차야영장,37.6409998,128.1580896,강원도 횡성군 청일면 속실길 20 ,30,0,0,0,1,1,1,15,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",,2019-07-12,2017-02-15
청자촌 오토캠핑장 ,"일반야영장,카라반",34.5088142,126.8004143,전남 강진군 대구면 청자촌길 42-5,0,0,0,20,3,2,3,35,1,0,20,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장,운동시설",여름철 간이 물놀이장 운영 / 풋살장 / 족구장,2019-07-12,2016-08-04
청주키즈캠핑장 ,일반야영장,36.6599077,127.5798498,충북 정주시 상당구 낭성면 갈산1길19 청주키즈캠핑장,43,0,0,0,1,1,1,22,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설,마트.편의점",,2019-07-12,2016-11-23
청천 화양동관광농원 초롱이캠핑장,일반야영장,36.6436068,127.88496,충청북도 괴산군 청천면 다보길 8 ,48,0,0,0,2,4,3,24,0,0,0,"전기,장작판매,온수,트렘폴린,물놀이장,놀이터,산책로,운동시설",,2019-07-12,2017-02-21
청천수목원 야영장,자동차야영장,36.6713933,127.781576,충청북도 괴산군 청천면 도원1길 68 ,0,0,0,0,0,0,0,0,0,0,0,"전기,장작판매,온수,놀이터,산책로,운동장,운동시설",,2019-07-12,2015-05-14
청평다감캠핑장 ,자동차야영장,37.7107695,127.4821699,경기도 가평군 호반로 886 ,7,0,0,0,3,2,2,5,0,0,0,"전기,무선인터넷,장작판매,물놀이장,운동시설",,2019-07-12,2016-08-01
청풍명월 캠핑장,일반야영장,37.8319763,126.7258205,경기도 파주시 탄현면 문지리 ,20,0,0,0,2,2,1,9,0,0,0,"전기,장작판매,온수,물놀이장,운동시설",,2019-07-12,2016-03-04
청풍월드니스글램핑 ,자동차야영장,37.010381,128.1877789,충청북도 제천시 청풍면 교리 ,0,0,0,0,0,0,0,0,0,0,0,물놀이장,,2019-07-12,2015-06-25
청풍호오토캠핑장 ,"일반야영장,카라반",37.0287695,128.1854139,충청북도 제천시 금성면 성내리 ,0,34,0,3,2,2,3,20,0,0,5,"전기,장작판매,온수,물놀이장,놀이터,운동시설",,2019-07-12,2015-05-22
청화산캠프관광농원 ,"일반야영장,카라반",36.3068386,128.4623468,경상북도 군위군 소보면 보현리 ,0,4,0,12,2,2,1,14,0,0,12,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,2016-04-07
체리블라썸야영장,"자동차야영장,카라반",37.7562282,128.1742543,강원도 홍천군 서석면 수하리 1102-3,5,0,0,1,1,1,1,3,0,0,0,"전기,장작판매",,2019-07-12,2017-08-09
초락나루펜션&글램핑,"일반야영장,글램핑",36.9955832,126.5271023,충청남도 당진시 석문면 감목길 154,1,0,10,0,6,6,3,20,10,1,17,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,2016-12-30
초록빛언덕글램핑 ,일반야영장,35.9545025,127.7151488,전라북도 무주군 적상면 포내리 ,0,0,0,0,0,0,0,0,0,0,0,운동시설,,2019-07-12,2015-05-21
초록슈피아오토캠핑장 ,"일반야영장,자동차야영장",35.5871833,128.9570731,경상남도 밀양시 산내면 남명리 ,0,30,0,0,1,1,1,20,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트.편의점",,2019-07-12,2015-08-26
초막골생태공원 느티나무야영장 ,"자동차야영장,글램핑",37.3473716,126.9186104,경기도 군포시 산본동 ,47,0,16,0,3,4,2,0,0,0,0,,,2019-07-12,2016-06-20
초안산캠핑장,"일반야영장,자동차야영장",37.6277451,127.0568215,018-66/서울시 노원구 월계동 750번지,16,35,0,0,2,2,2,26,0,0,0,"전기,무선인터넷,온수,놀이터,운동시설,마트.편의점",,2019-07-12,2018-02-07
초원오토캠핑장 ,자동차야영장,37.0394174,127.8166349,충청북도 충주시 중앙탑면 감노로 2003 ,24,0,0,0,2,1,2,8,1,0,0,"전기,장작판매,온수,물놀이장,놀이터,운동시설,마트.편의점",,2019-07-12,2015-04-30
초전마을 캠핑장,일반야영장,34.7293609,128.0342924,경남 남해군 미조면 동부대로14번길 27-21,60,0,0,0,1,1,2,5,0,0,0,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",주변 5분거리 편의점,2019-07-12,2016-09-05
초평밤나무 ,자동차야영장,36.8163803,127.495401,충청북도 진천군 초평면 화산리 ,30,0,0,0,2,2,1,30,0,0,0,"전기,무선인터넷,온수,트렘폴린,물놀이장,놀이터,운동시설",,2019-07-12,2016-07-20
최남단글램핑 ,자동차야영장,33.2117817,126.2559245,제주특별자치도 서귀포시 최남단해안로 113-0 ,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2016-06-10
추동캠프 ,일반야영장,37.9915799,127.1556949,경기도 포천시 창수면 추동리 ,18,0,0,0,5,2,4,15,0,0,4,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",,2019-07-12,2016-01-13
추암오토캠핑장,"일반야영장,자동차야영장",37.4783662,129.1581726,강원도 동해시 촛대바윗길 6,10,32,0,0,2,2,1,22,0,0,0,"전기,무선인터넷,놀이터,운동시설",,2019-07-12,2017-08-03
추억만들기캠핑장 ,일반야영장,37.3485926,127.7165956,경기도 여주시 북내면 중암리 ,0,20,0,0,1,1,1,10,0,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2019-07-12,2015-11-05
추억촌,자동차야영장,37.7173613,128.8031974,강원도 강릉시 성산면 대관령옛길 10 ,17,0,0,0,1,1,2,0,0,0,0,"전기,무선인터넷,온수,물놀이장,놀이터,운동시설",,2019-07-12,2015-04-20
축령산 자연휴양림 ,자동차야영장,37.7538975,127.3149823,경기도 남양주시 수동면 축령산로 299 ,30,0,0,0,2,2,2,15,0,0,0,"온수,물놀이장,놀이터",,2019-07-12,2015-07-01
춘장대나드리캠핑장 ,일반야영장,36.1628815,126.5253724,충청남도 서천군 서면 도둔리 ,40,0,0,0,2,2,1,20,0,8,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동장",,2019-07-12,2015-09-21
춘장대오토캠핑장,일반야영장,36.1615659,126.5267737,충청남도 서천군 서면 춘장대로 106 ,0,200,0,0,2,4,3,100,0,0,0,"전기,온수",,2019-07-12,
춘천박사마을 어린이 글램핑장 (재단법인 강원정보문화 진흥원),"일반야영장,글램핑",37.8930335,127.6918678,강원 춘천시 서면 박사로 854,0,10,24,0,6,2,2,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설",,2019-07-12,2016-07-11
춘천Believing(빌리빙)캠핑장 ,자동차야영장,37.9767025,127.6278216,강원도 춘천시 사북면 지암리 ,15,0,0,0,1,1,1,8,0,0,0,"전기,무선인터넷,장작판매,온수,운동시설",,2019-07-12,2016-05-23
춘천숲자연휴양림엔글램핑,"자동차야영장,글램핑",37.747726,127.7426862,강원도 춘천시 동산면 군자리 산403 ,28,0,45,0,0,1,1,50,0,0,45,"전기,무선인터넷,온수,물놀이장,놀이터,산책로,운동시설","숲체험장,족구장,눈썰매장,펜션",2019-07-12,2015-11-03
춘천캠핑월드 ,자동차야영장,37.9300828,127.6418609,강원도 춘천시 서면 툇골길 693-4 ,0,0,0,0,0,0,0,0,0,0,0,"전기,온수,물놀이장,운동시설",,2019-07-12,2015-05-26
충북대학교 천문대천문체험학교,일반야영장,36.7815397,127.475429,충청북도 진천군 문백면 은탄리 ,0,18,0,0,9,12,12,0,0,0,0,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동시설",천체망원경 구경 1m,2019-07-12,2014-10-24
충주 탄금호 캠핑리조트,자동차야영장,37.021725,127.863152,충청북도 충주시 중앙탑면 중앙탑길 124,0,0,0,0,0,0,0,0,0,0,0,,,2019-07-12,2017-04-12
충주반딧불 오토캠핑장,"일반야영장,카라반",37.1252613,127.9259788,충청북도 충주시 엄정면 가춘리길 19 ,0,60,0,3,2,2,1,33,0,0,3,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",,2019-07-12,2013-07-18
